band,event_id,company,primary_type,시작,종료,지속시간,기사수,제목에기업명,is_risk,실제유형,note,max_p
C_0.90-0.98,764,쿠팡,legal_regulatory,2026-08-07 8:15,2026-08-07 10:00,1.8h,1,0,FALSE,,,0.9099
C_0.90-0.98,514,쿠팡,reputation_consumer,2026-08-28 11:30,2026-08-28 12:45,1.3h,6,4,TRUE,legal_regulatory,,0.9442
A_0.65-0.75,625,SSG,safety_accident,2026-08-28 13:45,2026-08-28 14:30,0.8h,6,6,FALSE,,,0.6999
A_0.65-0.75,641,네이버,reputation_consumer,2026-08-27 8:00,2026-08-27 8:45,0.8h,6,0,FALSE,,,0.6912
B_0.75-0.90,606,에이블리,reputation_consumer,2026-08-26 15:00,2026-08-26 16:45,1.8h,2,0,FALSE,,,0.8961
A_0.65-0.75,1001,쿠팡,reputation_consumer,2026-09-01 16:00,2026-09-01 16:45,0.8h,6,5,FALSE,,긍정 기사 다수,0.0083
D_0.98이상,723,쿠팡,reputation_consumer,2026-02-18 11:00,2026-02-20 19:15,56.3h,1,1,FALSE,,개인 문의,0.9980
C_0.90-0.98,774,쿠팡,legal_regulatory,2026-08-27 5:00,2026-08-27 6:00,1.0h,5,3,TRUE,"legal_regulatory, labor_hr",,0.9141
C_0.90-0.98,622,SSG,reputation_consumer,2026-08-26 6:00,2026-08-26 6:45,0.8h,6,6,FALSE,,,0.9376
C_0.90-0.98,769,쿠팡,legal_regulatory,2026-08-26 5:45,2026-08-26 6:45,1.0h,6,3,TRUE,legal_regulatory,,0.9586
C_0.90-0.98,599,무신사,reputation_consumer,2026-08-27 16:00,2026-08-27 16:45,0.8h,3,1,FALSE,,,0.9058
B_0.75-0.90,604,에이블리,reputation_consumer,2026-08-26 9:15,2026-08-26 11:00,1.8h,5,0,FALSE,,,0.8961
C_0.90-0.98,773,쿠팡,legal_regulatory,2026-08-26 23:30,2026-08-27 4:30,5.0h,6,4,TRUE,legal_regulatory,,0.9365
D_0.98이상,706,쿠팡,security_privacy,2026-02-13 9:00,2026-02-14 20:15,35.3h,6,6,TRUE,legal_regulatory,,0.9980
D_0.98이상,705,쿠팡,legal_regulatory,2026-02-12 9:00,2026-02-14 20:15,59.3h,6,6,TRUE,legal_regulatory,,0.9980
D_0.98이상,624,SSG,reputation_consumer,2026-08-27 15:00,2026-08-27 16:00,1.0h,6,6,FALSE,,기업 차원에서 '위기'인지 기준 재정의 필요,0.9850
B_0.75-0.90,642,네이버,reputation_consumer,2026-08-27 16:00,2026-08-27 16:45,0.8h,6,4,FALSE,,,0.8082
D_0.98이상,713,쿠팡,reputation_consumer,2026-02-15 9:00,2026-02-19 0:00,87.0h,6,6,TRUE,"reputation_consumer, labor_hr, legal_regulatory",,0.9980
C_0.90-0.98,511,쿠팡,supply_operations,2026-08-27 17:00,2026-08-27 17:45,0.8h,6,4,TRUE,legal_regulatory,,0.9159
D_0.98이상,717,쿠팡,reputation_consumer,2026-02-16 21:30,2026-02-19 0:00,50.5h,1,1,FALSE,,,0.9980
B_0.75-0.90,603,에이블리,reputation_consumer,2026-08-25 18:15,2026-08-25 21:30,3.3h,2,1,FALSE,,,0.8961
C_0.90-0.98,1003,무신사,safety_accident,2026-09-01 17:30,2026-09-01 18:00,0.5h,4,3,TRUE,security_privacy,,0.9562
B_0.75-0.90,595,무신사,safety_accident,2026-08-26 15:00,2026-08-26 15:45,0.8h,4,0,FALSE,,,0.8714
D_0.98이상,711,쿠팡,reputation_consumer,2026-02-14 20:15,2026-02-19 0:00,99.8h,1,1,UNCERTAIN,,,0.9980
B_0.75-0.90,628,11번가,reputation_consumer,2026-08-26 9:15,2026-08-26 10:00,0.8h,5,0,FALSE,,관련성 없는 소스 다수,0.8961
C_0.90-0.98,535,올리브영,reputation_consumer,2026-08-25 16:00,2026-08-25 17:15,1.3h,6,6,FALSE,,,0.9574
D_0.98이상,720,쿠팡,reputation_consumer,2026-02-17 14:15,2026-02-19 0:00,33.8h,1,1,FALSE,,개인 경험담,0.9980
D_0.98이상,433,쿠팡,legal_regulatory,2026-08-27 9:30,2026-08-27 13:45,4.3h,6,6,TRUE,legal_regulatory,,0.9978
D_0.98이상,512,쿠팡,safety_accident,2026-08-27 18:00,2026-08-28 10:15,16.3h,6,1,TRUE,labor_hr,,0.9947
C_0.90-0.98,596,무신사,safety_accident,2026-08-26 18:15,2026-08-26 19:00,0.8h,1,1,TRUE,product_quality,,0.9663
D_0.98이상,721,쿠팡,reputation_consumer,2026-02-17 22:15,2026-02-20 19:15,69.0h,1,1,FALSE,,,0.9980
C_0.90-0.98,640,네이버,reputation_consumer,2026-08-26 10:00,2026-08-26 11:30,1.5h,6,6,FALSE,,,0.9798
D_0.98이상,707,쿠팡,product_quality,2026-02-14 9:00,2026-02-14 20:15,11.3h,6,1,TRUE,legal_regulatory,,0.9980
C_0.90-0.98,709,쿠팡,reputation_consumer,2026-02-14 16:30,2026-02-14 20:15,3.8h,1,1,FALSE,,"욕설, 내용 없음",0.9271
D_0.98이상,779,쿠팡,security_privacy,2026-08-28 0:00,2026-08-28 6:15,6.3h,5,3,TRUE,legal_regulatory,,0.9947
B_0.75-0.90,629,11번가,reputation_consumer,2026-08-26 10:30,2026-08-26 11:15,0.8h,2,0,FALSE,,,0.8961
C_0.90-0.98,539,올리브영,reputation_consumer,2026-08-27 6:00,2026-08-27 6:45,0.8h,6,0,FALSE,,,0.9226
D_0.98이상,637,카카오,reputation_consumer,2026-08-27 15:00,2026-08-27 15:45,0.8h,6,4,FALSE,,,0.9914
B_0.75-0.90,609,마켓컬리,product_quality,2026-08-19 9:45,2026-08-19 11:00,1.3h,2,2,TRUE,product_quality,,0.8384
