band,event_id,company,primary_type,시작,종료,지속시간,기사수,제목에기업명,is_risk,실제유형,note,max_p
A_0.90+,2585,쿠팡,legal_regulatory,2025-12-09 09:00,2025-12-09 09:00,0.0h,1,0,,,25년 12월 9일 화요일 간추린 아침뉴스입니다.,0.9958
A_0.90+,1600,무신사,legal_regulatory,2025-12-19 09:00,2025-12-19 09:00,0.0h,1,0,,,2025 #214째 시장정리_251218,0.9924
A_0.90+,3466,쿠팡,legal_regulatory,2026-07-03 09:00,2026-07-03 09:00,0.0h,1,0,,,"택배사 5곳 전부 걸렸다30억 과징금, 무슨 <b>갑질</b>이었길래",0.995
A_0.90+,6654,쿠팡,legal_regulatory,2026-08-27 12:00,2026-08-27 16:08,4.1h,6,6,,,"[속보]법원, 쿠팡 공정위 조사 효력 잠정 정지…내달 2일 심문; 법원, 쿠팡 공정위 직권조사 효력 잠정 정지…내달 2일 심문; 법원, 쿠팡 공정위 조사 효력 잠정 정지…내달 2일 심문",1.0
A_0.90+,3238,쿠팡,legal_regulatory,2026-02-26 09:00,2026-02-26 09:00,0.0h,1,1,,,"쿠팡, 공정위 22억 과징금에 “광고·납품가 강요 없어”",0.9964
A_0.90+,7732,올리브영,legal_regulatory,2026-09-03 11:58,2026-09-03 11:58,0.0h,1,0,,,담합에 갑질까지…유통·식품업계 ‘공정위 제재’ 지속되는 이유는?,1.0
A_0.90+,1604,무신사,product_quality,2025-12-20 09:00,2025-12-20 09:00,0.0h,1,0,,,노스페이스 패딩 충전재 <b>논란</b>: 거위털? 재활용 오리털 진실과 소비자 환불 방법 총정리,0.9428
A_0.90+,3035,쿠팡,product_quality,2026-02-09 09:00,2026-02-09 09:00,0.0h,1,0,,,2026년 2월 9일 신문기사,0.9918
A_0.90+,2498,쿠팡,product_quality,2025-12-04 09:00,2025-12-04 09:00,0.0h,1,1,,,"쿠팡 리스크의 역설, '안전성 논란' 중국 커머스가 웃는다",0.9928
A_0.90+,1472,무신사,product_quality,2025-12-05 09:00,2025-12-05 09:00,0.0h,1,0,,,노스페이스 패딩 충전재 오기재 <b>논란</b> - 구스 아닌 재활용 오리털 사용 사실 확인,0.9959
A_0.90+,2758,쿠팡,product_quality,2026-01-14 09:00,2026-01-14 09:00,0.0h,1,0,,,온라인몰 다운 혼용률 정보 깜깜...상품 절반은 '미표기',0.9946
A_0.90+,3459,쿠팡,product_quality,2026-07-03 09:00,2026-07-03 09:00,0.0h,1,0,,,&quot;배달음식 환불받으려고 이렇게까지?&quot; AI 악용하는 블랙컨슈머 기승,0.9926
A_0.90+,1847,SSG,reputation_consumer,2026-05-22 09:00,2026-05-22 09:00,0.0h,1,0,,,"지금 필요한 것은 사과인가, 책임인가 - 스타벅스 논란과 정용진 회장 책임론",0.9945
A_0.90+,3003,쿠팡,reputation_consumer,2026-02-07 09:00,2026-02-07 09:00,0.0h,3,3,,,"80억 로비 뒤에 숨은 <b>쿠팡</b>, 대한민국은 언제까지 방관할...; 80억 로비 뒤에 숨은 <b>쿠팡</b>, 대한민국은 언제까지 방관할...; 80억 로비 뒤에 숨은 <b>쿠팡</b>, 대한민국은 언제까지 방관할...",1.0
A_0.90+,3201,쿠팡,reputation_consumer,2026-02-23 09:00,2026-02-23 09:00,0.0h,1,0,,,뉴스모음,0.9297
A_0.90+,1835,SSG,reputation_consumer,2026-05-21 09:00,2026-05-21 09:00,0.0h,1,0,,,스타벅스 ‘5·18 탱크 데이’ 후폭풍…미국 본사까지 움직인 이유,0.9926
A_0.90+,2644,쿠팡,reputation_consumer,2025-12-26 09:00,2025-12-26 09:00,0.0h,1,0,,,"다 먹기도 전에 유통기한 끝?...온라인몰 건기식, 소비기한 지났거나 임...",0.997
A_0.90+,2270,네이버,reputation_consumer,2025-10-15 09:00,2025-10-15 09:00,0.0h,1,0,,,"박상웅 의원, 정산주기지연 등'쿠팡 갑질 종합갑질세트' 총망라' 강력 질...",0.997
A_0.90+,3617,쿠팡,safety_accident,2026-08-27 14:12,2026-08-27 14:12,0.0h,1,1,,,"주병기 ""현장조사 거부한 쿠팡 형사고발""…과태료도 검토",0.9926
A_0.90+,7149,두산,safety_accident,2026-08-30 11:09,2026-08-30 11:09,0.0h,2,0,,,"스트레이 키즈 리노, 네팔 홍수 구호에 1억원 기부; 스트레이 키즈 리노, 네팔 홍수 구호에 1억원 기부",1.0
A_0.90+,4374,두산,safety_accident,2026-08-29 15:20,2026-08-29 15:20,0.0h,1,0,,,네팔 실종 한국인 9명 수색 난항…악천후에 헬기 이륙 못해,0.9617
A_0.90+,6928,쿠팡,safety_accident,2026-08-29 15:00,2026-08-29 15:00,0.0h,2,0,,,그것이 알고 싶다 오대양 집단 변사 사건의 실체와 32명 사망 경위 분석; 그것이 알고 싶다 오대양 집단 변사 사건의 미스터리와 32명 사망 진실,1.0
A_0.90+,1403,무신사,safety_accident,2025-10-10 09:00,2025-10-10 09:00,0.0h,1,0,,,해킹도 화재도 못 막는 정보보호인증…소비자보호 외치는 금감원 “건전...,0.9886
A_0.90+,4470,두산,safety_accident,2026-08-30 14:15,2026-08-30 14:15,0.0h,1,0,,,네팔 대홍수 사망 750명·실종 3천 명 넘어...필사적 수색·구조,0.983
A_0.90+,2781,쿠팡,security_privacy,2026-01-16 09:00,2026-01-16 09:00,0.0h,1,0,,,다 털린 나라의 &#39;인증 지옥&#39;(한국경제) / [빛명상] 죽음...,0.997
A_0.90+,1345,무신사,security_privacy,2025-09-25 09:00,2025-09-25 09:00,0.0h,1,0,,,"유통업계, 국감 '뜨거운 감자'…개인정보 유출·프랜차이즈 갈등 도마 ...",0.9941
A_0.90+,3071,쿠팡,security_privacy,2026-02-11 09:00,2026-02-11 09:00,0.0h,1,1,,,<b>쿠팡</b> <b>정보</b><b>유출</b> 사태/ 퇴직자가 1년간 고객<b>정보</b> 훑어...,0.9965
A_0.90+,2529,쿠팡,security_privacy,2025-12-06 09:00,2025-12-06 09:00,0.0h,3,3,,,"스마트폰 보안 설정법, <b>쿠팡</b> 개인정보 대량 유출, 피해...; 스마트폰 보안 설정법, <b>쿠팡</b> 개인정보 대량 유출, 피해...; 스마트폰 보안 설정법, <b>쿠팡</b> 개인정보 대량 유출, 피해...",0.9773
A_0.90+,2559,쿠팡,security_privacy,2025-12-08 09:00,2025-12-08 09:00,0.0h,1,1,,,쿠팡 김범석 창업자가 한국 사회의 '공적(公敵)'이 된 이유,0.997
A_0.90+,2693,쿠팡,security_privacy,2026-01-09 09:00,2026-01-09 09:00,0.0h,1,1,,,'통신사·알리 얹고 산재 뺀' 국힘 쿠팡 국조 요구서…&quot;방탄&quot; &quot;면죄부&quot;,0.9972
A_0.90+,1775,마켓컬리,supply_operations,2026-08-28 07:00,2026-08-28 07:00,0.0h,1,0,,,"하루 2만보 걸었는데...좁고 복잡한 의약품 창고, 로봇 25대 달린다",0.9601
A_0.90+,3180,쿠팡,supply_operations,2026-02-21 09:00,2026-02-21 09:00,0.0h,1,0,,,&#34;전우가 좋아&#34;---(836) &#34;인생 이야기&#34;---(323) (이순자...,0.9691
A_0.90+,5645,네이버,supply_operations,2026-08-27 17:50,2026-08-27 17:50,0.0h,2,2,,,"네이버 뮤직앱 '바이브', 결국 서비스 종료…""사업 환경 변화""; 네이버 음악 플랫폼 '바이브(VIBE)', 출시 8년 만에 서비스 종료…""사업...",0.9831
A_0.90+,2883,쿠팡,supply_operations,2026-01-25 23:15,2026-01-25 23:15,0.0h,1,1,,,쿠팡...뭐 얘네 망하진 않겠지만 혹 망해도 달라지는게 없음..,0.9752
A_0.90+,2782,쿠팡,supply_operations,2026-01-16 09:00,2026-01-16 09:00,0.0h,1,1,,,쿠팡 보상안 첫날...냉담한 여론 속 체감 효과도 확산,0.9886
A_0.90+,2917,쿠팡,supply_operations,2026-01-28 09:00,2026-01-28 09:00,0.0h,1,1,,,"쿠팡CLS 영업점 단체 CPA, “조사 장기화로 배송 기사 생계 불안 심화”",0.9966
B_0.70-0.90,4630,남양,financial_governance,2026-08-29 11:45,2026-08-29 11:45,0.0h,1,0,,,경기교통 - 읽기전용위키,0.8633
B_0.70-0.90,2020,카카오,financial_governance,2026-05-21 09:00,2026-05-21 09:00,0.0h,1,0,,,2026년 5월 21일 데일리 뉴스요약,0.8256
B_0.70-0.90,5463,카카오,financial_governance,2026-08-26 11:20,2026-09-04 17:52,222.5h,6,6,,,"허리띠 졸라도 개발비는 지켰다…카카오게임즈, 신작에 승부; 카카오게임즈, PC게임 과금 27% 인상…적자 탈출 '안간힘'; ‘오딘’ 이후 5년 공백…카카오게임즈, 신작으로 반등할까",0.7237
B_0.70-0.90,4668,카카오,financial_governance,2026-09-01 05:31,2026-09-01 05:31,0.0h,1,0,,,"""민주 전대가 DJ·盧적자논쟁 할 때였나...청년세대 주인공으로 만들어...",0.8204
B_0.70-0.90,1392,무신사,financial_governance,2025-10-09 09:00,2025-10-09 09:00,0.0h,1,0,,,"국정감사 쿠팡 신세계 배달의민족 홈플러스까지, 유통 CEO 줄소환의 의미",0.8502
B_0.70-0.90,3105,쿠팡,financial_governance,2026-02-13 09:00,2026-02-13 09:00,0.0h,1,0,,,[언주로 칼럼] 대형마트를 죽인 범인,0.882
B_0.70-0.90,2070,카카오,labor_hr,2026-08-26 14:11,2026-08-26 14:11,0.0h,1,1,,,카카오뱅크 파업투쟁 결의대회 및 분할 반대 공동교섭 선포식,0.8609
B_0.70-0.90,4154,쿠팡,labor_hr,2026-08-31 09:40,2026-08-31 09:40,0.0h,1,0,,,李대통령 지지율 30%대 하락에 따른 2기 내각 인사의 정치적 계산과 배경,0.8689
B_0.70-0.90,3912,쿠팡,labor_hr,2026-09-02 10:04,2026-09-02 10:04,0.0h,1,0,,,"[오피니언] 과로사, 야간 노동에 맞선 민주노총의 건강권 투쟁",0.8961
B_0.70-0.90,3814,쿠팡,labor_hr,2026-09-01 17:02,2026-09-01 17:02,0.0h,1,0,,,현대차 판매 급감 원인 파업 영향과 8월 국내 내수 실적 순위 변동 상황,0.8863
B_0.70-0.90,2010,카카오,labor_hr,2026-08-26 11:16,2026-08-26 11:16,0.0h,1,0,,,"“제4인뱅, 개인사업자 여신 비중 50% 이상 의무화해야”",0.8987
B_0.70-0.90,7631,SSG,labor_hr,2026-09-01 11:35,2026-09-05 20:50,105.3h,6,6,,,"[스포츠] SSG 김성현, 21년 원클럽맨 마침표…5일 두산전서 은퇴식; 'KS 우승 2회' SSG 김성현 , 9월 5일 은퇴식…21년 선수 생활 마감; SSG 김성현, 9월 5일 은퇴식 개최…21년 ‘원클럽맨’ 선수 생활 마감",0.7272
B_0.70-0.90,1981,카카오,legal_regulatory,2026-08-25 17:38,2026-08-25 17:38,0.0h,1,0,,,"檢, 최영중 전 청주시의원 성착취물 4건 추가 확인…‘상습’ 혐의 적용...",0.8876
B_0.70-0.90,2131,카카오,legal_regulatory,2026-08-27 10:48,2026-08-27 10:48,0.0h,1,0,,,‘SM 시세조종 의혹’ 2심 핵심 증인 불출석,0.8969
B_0.70-0.90,4097,쿠팡,legal_regulatory,2026-08-30 10:40,2026-08-30 10:40,0.0h,1,0,,,삼전닉스 레버리지 규제 강화 이후 개인 투자자들의 매도세와 시장 변화,0.8827
B_0.70-0.90,3816,쿠팡,legal_regulatory,2026-09-01 17:26,2026-09-01 17:26,0.0h,1,1,,,"공정위, 쿠팡 본사 현장조사 재개…시장지배적 지위 남용 여부 집중 점...",0.8435
B_0.70-0.90,1319,올리브영,legal_regulatory,2026-09-01 18:07,2026-09-01 18:07,0.0h,1,0,,,"""대형 유통사 상품대금 정산 30일로 단축""",0.891
B_0.70-0.90,2695,쿠팡,legal_regulatory,2026-01-09 09:00,2026-01-09 09:00,0.0h,1,1,,,&quot;분쟁 최다기업 쿠팡…거래구조·시스템 돌아볼 필요 있다&quot;,0.8724
B_0.70-0.90,3295,쿠팡,product_quality,2026-06-10 09:00,2026-06-10 09:00,0.0h,1,1,,,"배민·쿠팡이츠, '배달 품질 저하'에 소비자·점주 불만 증가",0.8375
B_0.70-0.90,2664,쿠팡,product_quality,2026-01-08 09:00,2026-01-08 09:00,0.0h,1,0,,,"2026년 붉은 말띠…김범석·백종원·허희수, 말띠 경영의 명암",0.8972
B_0.70-0.90,1494,무신사,product_quality,2025-12-07 09:00,2025-12-07 09:00,0.0h,1,0,,,"클라우드플레어 오류, 에러, 원인, 서버 복구, 해결방법, 주가 영향",0.8603
B_0.70-0.90,2192,카카오,product_quality,2026-09-01 11:40,2026-09-01 11:40,0.0h,1,0,,,"""탈색에 담배까지"" 하지원, 6년 만의 스크린 복귀에 건 승부",0.8007
B_0.70-0.90,2866,쿠팡,product_quality,2026-01-24 09:00,2026-01-24 09:00,0.0h,1,0,,,에어팟 2세대 수리 비용 배터리 교체 공식 서비스센터 사설 수리 리퍼 한쪽 안들림 증상 해결 방법 확인...,0.8177
B_0.70-0.90,3302,쿠팡,product_quality,2026-06-10 09:00,2026-06-10 09:00,0.0h,1,0,,,한눈에 보이는 오늘 뉴스 2026.06.10,0.8527
B_0.70-0.90,4010,쿠팡,reputation_consumer,2026-08-28 16:30,2026-08-28 16:30,0.0h,1,0,,,박위 송지은 사주풀이 결과와 최근 홍보대사 해촉까지의 논란 정리,0.8544
B_0.70-0.90,1438,무신사,reputation_consumer,2025-10-13 09:00,2025-10-13 09:00,0.0h,1,0,,,[2025 국감 체크] ①李정부 첫 국감 D-DAY…증인 출석 '재조율 및 최소화...,0.8943
B_0.70-0.90,3034,쿠팡,reputation_consumer,2026-02-09 09:00,2026-02-09 09:00,0.0h,1,0,,,"아흔아홉째 이야기, 일요일이 다 가는 소리(3)",0.8004
B_0.70-0.90,1796,SSG,reputation_consumer,2026-05-19 09:00,2026-05-19 09:00,0.0h,1,0,,,“스타벅스 이제 끝”…컵 깨고 카드 자르는 사진까지 올라왔다,0.8703
B_0.70-0.90,4048,쿠팡,reputation_consumer,2026-08-29 10:39,2026-08-29 10:39,0.0h,1,1,,,"트럼프, 6월에 또 쿠팡 주식 거래 포착…'이해 충돌' 논란 계속",0.8387
B_0.70-0.90,3832,쿠팡,reputation_consumer,2026-09-01 18:30,2026-09-01 18:30,0.0h,1,0,,,경찰개혁추진단 출범 배경과 부실 수사 논란에 따른 향후 경찰 조직 운영 방향,0.8465
B_0.70-0.90,2955,쿠팡,safety_accident,2026-02-04 09:00,2026-02-04 09:00,0.0h,1,1,,,<b>쿠팡</b> 개인정보 피해보상 쿠폰 받는법,0.8906
B_0.70-0.90,4472,두산,safety_accident,2026-08-30 14:36,2026-08-30 14:36,0.0h,1,0,,,네팔 홍수 참사 사망 750명 실종 3000명 넘어 우리가 알아야 할 것,0.8046
B_0.70-0.90,2416,쿠팡,safety_accident,2026-08-26 09:21,2026-08-26 09:21,0.0h,1,0,,,중국산 배추 불검출 결과와 향후 강화된 수입 식품 안전 관리 방안,0.8004
B_0.70-0.90,3886,쿠팡,safety_accident,2026-09-02 09:00,2026-09-02 09:00,0.0h,1,0,,,"""심야 택배노동 시간 제한, 압축노동에 내몰릴 수 있어""",0.8623
B_0.70-0.90,7665,두산,safety_accident,2026-08-30 18:52,2026-08-30 19:10,0.3h,6,6,,,대사관 들어서는 네팔 대홍수 두산측 생존자 차량; 대사관 들어서는 네팔 대홍수 두산측 생존자 차량; 대사관 들어서는 네팔 대홍수 두산측 생존자 차량,0.8022
B_0.70-0.90,4100,쿠팡,safety_accident,2026-08-30 11:10,2026-08-30 11:10,0.0h,1,0,,,이용주 심장마비 사망 루머의 진실과 근거 없는 가짜 뉴스 대처하는 방법,0.8801
B_0.70-0.90,3129,쿠팡,security_privacy,2026-02-16 09:00,2026-02-16 09:00,0.0h,1,1,,,<b>쿠팡</b> 웰컴백 쿠폰 15000원 주던데,0.8606
B_0.70-0.90,2175,카카오,security_privacy,2026-08-28 11:25,2026-08-28 11:25,0.0h,1,0,,,정부 AI 사업은 왜 '선발전'이 됐나…이번엔 '모두의 AI',0.8217
B_0.70-0.90,1412,무신사,security_privacy,2025-10-10 09:00,2025-10-10 09:00,0.0h,1,0,,,[2025 국감] 국회 입법조사처 선정 51개 국감이슈…산자위·국토위·농해...,0.8472
B_0.70-0.90,7641,네이버,security_privacy,2026-08-31 17:44,2026-08-31 17:44,0.0h,1,1,,,네이버 프라이버시 센터,0.8015
B_0.70-0.90,1419,무신사,security_privacy,2025-10-12 09:00,2025-10-12 09:00,0.0h,1,0,,,이재명 정부 첫 국감…키워드는 ‘김현지·조희대’,0.882
B_0.70-0.90,1342,무신사,security_privacy,2025-09-25 09:00,2025-09-25 09:00,0.0h,1,0,,,국회 국감증인에 해킹사태 KT·산재 건설사 대표 등 채택,0.8857
B_0.70-0.90,3772,쿠팡,supply_operations,2026-09-01 11:10,2026-09-01 11:10,0.0h,1,0,,,대형마트 새벽배송 일부 수용...수퍼연합회는 왜 태도 바꿨나,0.867
B_0.70-0.90,3496,쿠팡,supply_operations,2026-08-07 10:52,2026-08-07 10:52,0.0h,1,0,,,10킬로 참외,0.8684
B_0.70-0.90,2333,네이버,supply_operations,2026-09-02 09:06,2026-09-02 09:06,0.0h,1,0,,,"LPG 테마, 중동 불안감에 요동… 석유류 유통주 주가 급등",0.8642
B_0.70-0.90,3778,쿠팡,supply_operations,2026-09-01 13:40,2026-09-01 13:40,0.0h,1,1,,,쿠팡기사 98% 새벽배송 제한법 반대,0.8714
B_0.70-0.90,4183,쿠팡,supply_operations,2026-08-31 11:54,2026-08-31 11:54,0.0h,1,1,,,"쿠팡파트너스연합회, 심야배송 제한 법안에 공식 반대 입장 표명",0.8473
B_0.70-0.90,3699,쿠팡,supply_operations,2026-08-28 11:37,2026-08-28 11:37,0.0h,1,1,,,혹시 쿠팡 배송기사님 계신가요?,0.8162
C_below_0.70,7651,두산,labor_hr,2026-08-27 15:17,2026-08-27 15:17,0.0h,3,0,,,비즈워치; 비즈워치; 비즈워치,0.672
C_below_0.70,7634,카카오,labor_hr,2026-08-25 17:06,2026-08-25 17:22,0.3h,3,3,,,"카카오AI 초대 이사회 윤곽, 임혜숙 전 과기정통 장관·김대지 국세청장...; 카카오AI 초대 이사회 윤곽…전 과기정통부 장관·국세청장·KT CTO 등 합...; 카카오AI 첫 이사진 윤곽...전직 장관·국세청장 영입",0.6501
C_below_0.70,7635,카카오,labor_hr,2026-08-27 15:17,2026-08-31 12:50,93.5h,6,0,,,비즈워치; 비즈워치; 비즈워치,0.672
C_below_0.70,7633,카카오,labor_hr,2026-08-25 17:06,2026-08-25 18:25,1.3h,6,6,,,카카오AI 분사 앞두고…이사회에 전 과기정통부 장관·국세청장 영입; 카카오AI 이사회에 오승필 전 KT CTO·임혜숙 전 장관 등 합류; 카카오AI 첫 이사진에 전직 과기정통부 장관·국세청장 합류,0.6575
C_below_0.70,7627,무신사,labor_hr,2026-08-27 15:17,2026-08-28 13:48,22.5h,3,0,,,비즈워치; 비즈워치; 비즈워치,0.672
C_below_0.70,7630,SSG,labor_hr,2026-08-27 15:17,2026-08-31 12:50,93.5h,6,0,,,비즈워치; 비즈워치; 비즈워치,0.672
C_below_0.70,7640,네이버,legal_regulatory,2026-08-27 17:12,2026-08-27 17:12,0.0h,2,2,,,"네이버·쿠팡 등 자율관리 강화…식약처, 온라인 불법유통 공동 대응; ""AI 허위광고 막는다""…식약처, 네이버·쿠팡 등과 공동 대응",0.6557
C_below_0.70,7642,쿠팡,legal_regulatory,2026-08-27 17:12,2026-08-27 17:12,0.0h,2,2,,,"네이버·쿠팡 등 자율관리 강화…식약처, 온라인 불법유통 공동 대응; ""AI 허위광고 막는다""…식약처, 네이버·쿠팡 등과 공동 대응",0.6557
C_below_0.70,7924,SSG,reputation_consumer,2026-09-03 11:20,2026-09-03 11:20,0.0h,2,0,,,"지명권 위해 9위? 단호한 이숭용 ""모두가 지켜보는데 그걸 모르겠나, 그...; 지명권 위해 9위? 단호한 이숭용 ""모두가 지켜보는데 그걸 모르겠나, 그건 프로가 아냐""",0.6564
C_below_0.70,7649,쿠팡,reputation_consumer,2026-08-31 00:10,2026-08-31 00:10,0.0h,2,0,,,용혜인 성평등부 장관 지명과 여성징병제 도입 논란의 핵심 배경; 용혜인 성평등부 장관 지명과 여성징병제 도입 가능성 및 사회적 파장,0.6528
C_below_0.70,7648,쿠팡,safety_accident,2026-08-30 18:10,2026-08-30 18:20,0.2h,3,0,,,중대본 1단계 가동 호우 특보 발효에 따른 전국 비 피해 예방 행동 요령과 주의사항; 호우특보 중대본 1단계 가동에 따른 지자체별 대처 상황과 안전 행동 요령; 중대본 1단계 가동에 따른 호우 위기경보 주의 격상과 지역별 대응 지침,0.6603
C_below_0.70,7662,두산,safety_accident,2026-08-29 19:11,2026-08-29 19:11,0.0h,2,0,,,"신속대응팀, 드디어 수색헬기 띄웠다…이 시각 네팔; 신속대응팀, 헬기 2대 띄웠다…이 시각 네팔공항은",0.6539
C_below_0.70,7652,두산,safety_accident,2026-08-28 15:41,2026-08-28 15:41,0.0h,2,2,,,"두산 현장 대응팀, 사고현장 수색·직원 귀환 '투트랙' 지원; 네팔 도착한 두산·남동발전 대응팀…구조 직원 귀환·수색 ‘투트랙’",0.6696
C_below_0.70,7660,두산,safety_accident,2026-08-30 20:16,2026-08-31 02:00,5.7h,3,2,,,"박정원 두산 회장, 직접 네팔서 직원 구조 현장 지휘…수색 헬기 운항 ...; 박정원·지원 회장, 네팔서 구조 직원들 만나…""모든 수색방식 동원""; 박정원 두산 회장, 네팔서 실종 직원 수색 지원…현지 대응 총력",0.6552
C_below_0.70,7667,두산,safety_accident,2026-08-31 13:37,2026-08-31 13:37,0.0h,2,0,,,신속대응팀 육로 수색 병행…헬기·드론 허가 대기; 대응팀 육로 수색 시도…헬기·드론 허가 대기,0.6927
C_below_0.70,7654,두산,safety_accident,2026-08-28 15:46,2026-08-28 15:46,0.0h,2,2,,,정연인 두산에너빌리티 대표 네팔 도착…연락두절 직원 수색 지원; 정연인 두산에너빌리티 부회장 네팔 도착…직원 수색·구조 지원,0.6548
C_below_0.70,7628,마켓컬리,security_privacy,2026-08-30 05:45,2026-08-30 05:45,0.0h,2,2,,,컬리 마켓컬리 고객센터 전화번호 및 연결 팁; 마켓컬리 고객센터 전화번호 및 연결 팁,0.65
C_below_0.70,7636,카카오,security_privacy,2026-08-27 11:07,2026-08-27 18:25,7.3h,6,6,,,"카카오엔터, 웹툰·웹소설 불법유통 24시간 감시…'다크체이서' 구축; 카카오엔터, 불법 웹툰·웹소설 유통 뿌리 뽑는다…'다크체이서' 공개; 카카오엔터, IP 보호 시스템 '다크체이서' 구축…모니터링·사전 대응 강...",0.6503
C_below_0.70,7658,두산,supply_operations,2026-08-29 20:04,2026-08-30 05:46,9.7h,3,0,,,기사 - 월간중앙; 기사 - 월간중앙; 기사 - 월간중앙,0.6536
C_below_0.70,7643,쿠팡,supply_operations,2026-09-02 11:28,2026-09-03 11:24,23.9h,6,6,,,"쿠팡풀필먼트서비스, 수도권·충청·경남서 8차례 채용 행사 … 현장관...; 쿠팡풀필먼트서비스, '전국 채용 페스타' 8차례 연다; 쿠팡풀필먼트서비스, 9월 ‘전국 채용 페스타’ 개최…상담부터 면접까...",0.6523
C_below_0.70,7646,쿠팡,supply_operations,2026-08-30 00:02,2026-08-30 00:02,0.0h,2,0,,,대형마트 휴무일? 이마트·롯데마트·홈플러스·코스트코 ‘할인 추석준...; 대형마트 휴무일? 이마트·롯데마트·홈플러스·코스트코 ‘할인 장보기...,0.6953
